,Temple,Lat,Lon
0,"Somnath Temple, Gujarat",20.8877608,70.4013906
1,"Mallikarjuna Temple, Srisailam",16.0503482,78.9008675
2,"Mahakaleshwar, Ujjain",23.1817124,75.7703821
3,"Omkareshwar, Madhya Pradesh",22.2451865,76.1635974
4,"Kedarnath Temple, Uttarakhand",30.7348954,79.0670255
5,"Bhimashankar Temple, Maharashtra",19.0719964,73.5360388
6,"Kashi Vishwanath, Varanasi",25.3108219,83.0106679
7,"Trimbakeshwar, Nashik",19.9321202,73.5307549
8,"Vaidyanath Temple, Deoghar",24.4931,86.7
9,"Nageshwar Jyotirlinga, Gujarat",22.3359,69.0869
10,"Ramanathaswamy Temple, Rameshwaram",9.2880968,79.3173756
11,"Grishneshwar Jyotirlinga Temple, Maharashtra",20.0249,75.1698
